資料集名稱,主題分類,資料集描述,主要欄位說明
臺北市測量申請案件統計,地政,臺北市土地複丈、建物測量申請案件統計數,地政事務所、土地分割件數、土地合併件數、鑑界、土地法院囑託、土地其他、建物一般案件、建物門牌基地號勘查及建物滅失、建物法院囑託
臺北市土地登記印鑑設置及使用情形統計,地政,臺北市土地登記印鑑設置及使用情形統計之使用情形。,地政事務所別、申請設置印鑑人數、註銷印鑑人數、累計印鑑設置人數、新增印鑑使用案件數、累計印鑑使用案件數
臺北市實價登錄每季動態分析,地政,配合內政部政策，進行臺北市實價登錄每季動態分析。,行政區、提供查詢之買賣實價案件數_件、住宅區房地買賣實價案件數_件、商業區房地買賣實價案件數_件、工業區房地買賣實價案件數_件、實價登錄動態分析
臺北捷運系統票價,交通,提供臺北捷運系統各票種之票價,起站、訖站、全票票價[金額]、敬老卡愛心卡愛心陪伴卡及臺北市與新北市兒童優惠票價[金額]、距離
臺北捷運藝文廊各場地展覽資訊,交通,臺北捷運公司所屬藝文廊各場地展覽資訊,"起始日期、結束日期、地點、活動名稱、辦理單位

"
臺北市契稅稅源統計表,財稅,臺北市契稅稅源統計表(每年),項目別、應稅件數、免稅件數、應稅契價、免稅契價、應稅本稅、免稅本稅、合計件數、合計契價、合計本稅
臺北市聽力所,醫療,臺北市聽力所。,序號、機構名稱、行政區域代碼、郵遞區號、地址
臺北市醫療機構科別,醫療,有關臺北市醫療機構科別資料。,序號、科別名稱、縣市別代碼、檔案格式、更新日期
臺北市政府各機關學校統一編號,資訊,臺北市各機關學校統一編號,項次、縣市代碼、機關學校名稱、統一編號、資料說明
臺北市稅務小常識電子書,財稅,稅務小常識文宣電子書資料,機關名稱、年度、說明、頁數、資料說明
臺北市稅捐稽徵處中英文簡介,財稅,臺北市稅捐稽徵處中英文簡介資料,項次、機關名稱、年度、說明、頁數
臺北市年度勞資爭議統計依主要爭議類別區分,勞動,依主要爭議類別區分勞資爭議統計報表,年度、轄區、性質、主要爭議類別、案件數（數量）
臺北市年度勞資爭議統計依行業別區分,勞動,依行業別區分勞資爭議統計報表,年度、統計月份、轄區、行業別、案件數（數量）
臺北市免費勞工法令律師諮詢時段,勞動,免費諮詢律師的地點及諮詢時段,地點、郵遞區號、地址、方式、時段
臺北市調處勞資爭議調解之民間團體簡介,勞動,民間團體簡介,名稱、郵遞區號、區域、地址、電話
臺北捷運車站電梯維修預排時程表,交通,臺北捷運車站最近2個月電梯預防檢修預排時程表(不含臨時性故障)，本表僅為預定排程，實際檢修時間仍依車站現場告示為主。,保養日期(年月日)、線別、車站、電梯位置、設備編號、保養週期、保養時段
臺北市國民住宅配售(租)情形,統計,年度臺北市國民住宅配售(租)統計表,項次、國宅別、興建戶數/A、數量、出售承購戶數、出售簽約戶數、出租承租戶數、出租簽約戶數、待售戶數/B1、待租戶數/B2、累計配售租戶數/A-B1-B2、備註
臺北市 都市更新事業(重建區段)建築物工程造價要項,都更,"臺北市都市更新事業(重建區段)建築物工程造價要項。
",民國年月、DocNo（文號）、Description（內容）、ArticleType、CountyCode。
臺北市都市更新事業及權利變換計畫內有關費用提列總表,都更,"都市更新事業及權利變換計畫內有關費用提列總表。
",民國年月、DocNo（文號）、Description（內容）、ArticleType、CountyCode。
臺北市自行劃定更新單元查詢,都更,自行劃定更新單元查詢之更新單元案件清單。,ItemName(項目名稱)、URL(網址)、Description(說明)、Area(涵蓋區域)、CountyCode(縣市別代碼)。
臺北市已核准自行劃定更新單元案件,都更,已核准自行劃定更新單元案件。,民國年月、areaName（行政區）、DocNo（文號）、caseName（案名）、Description（內容）。
臺北市都市更新容積獎勵案件統計表,都更,臺北都市更新容積獎勵案件統計表。,"Year（西元年）、Quantity（核定案件數量）、Area（總計獲得容積獎勵單位平方公尺）、Region、CountyCode。
"
臺北市 都市更新相關法規,都更,"臺北市都市更新相關法規。
",SeqNo（編號）、ItemName（標題）、民國年月日（民國日期）、ArticleType、CountyCode。
