year,months,organ,kind,number,numofpeople
106,7,新北市海山分局,總計,113,113
106,7,新北市中和分局,總計,390,390
106,7,新北市永和分局,總計,462,462
106,7,新北市三重分局,總計,295,295
106,7,新北市新莊分局,總計,306,306
106,7,新北市土城分局,總計,201,201
106,7,新北市新店分局,總計,361,361
106,7,新北市蘆洲分局,總計,256,256
106,7,新北市三峽分局,總計,181,181
106,7,新北市樹林分局,總計,202,202
106,7,新北市汐止分局,總計,107,107
106,7,新北市淡水分局,總計,81,81
106,7,新北市瑞芳分局,總計,35,35
106,7,新北市金山分局,總計,5,5
106,7,新北市政府警察局,罰鍰,2020,2020
106,7,新北市板橋分局,罰鍰,299,299
106,7,新北市海山分局,罰鍰,94,94
106,7,新北市中和分局,罰鍰,114,114
106,7,新北市永和分局,罰鍰,262,262
106,7,新北市三重分局,罰鍰,250,250
106,7,新北市新莊分局,罰鍰,163,163
106,7,新北市土城分局,罰鍰,149,149
106,7,新北市新店分局,罰鍰,189,189
106,7,新北市蘆洲分局,罰鍰,193,193
106,7,新北市三峽分局,罰鍰,79,79
106,7,新北市樹林分局,罰鍰,39,39
106,7,新北市汐止分局,罰鍰,103,103
106,7,新北市淡水分局,罰鍰,73,73
106,7,新北市瑞芳分局,罰鍰,12,12
106,7,新北市金山分局,罰鍰,1,1
106,7,新北市政府警察局,没入攤架,0,0
106,7,新北市板橋分局,没入攤架,0,0
106,7,新北市海山分局,没入攤架,0,0
106,7,新北市中和分局,没入攤架,0,0
106,7,新北市永和分局,没入攤架,0,0
106,7,新北市三重分局,没入攤架,0,0
106,7,新北市新莊分局,没入攤架,0,0
106,7,新北市土城分局,没入攤架,0,0
106,7,新北市新店分局,没入攤架,0,0
106,7,新北市蘆洲分局,没入攤架,0,0
106,7,新北市三峽分局,没入攤架,0,0
106,7,新北市樹林分局,没入攤架,0,0
106,7,新北市汐止分局,没入攤架,0,0
106,7,新北市淡水分局,没入攤架,0,0
106,7,新北市瑞芳分局,没入攤架,0,0
106,7,新北市金山分局,没入攤架,0,0
106,7,新北市政府警察局,拆除攤架,1,1
